Year;abstract
2012;this paper examines the global software development process by using content analysis techniques as described in an earlier study (serce et al. 2011) to determine time-variant patterns of communication behaviors among student teams engaged in a global software development project. data gathered from two software development projects involving students in the us panama and turkey were used to determine how globally distributed team behavior is temporally patterned in complex ways. a formal quantitative methodology for time variant analysis of the transcripts of global software student teams based on content analysis is established. results from the analysis suggest a positive correlation between a team's temporal communication patterns and project outcomes as well as a relationship between variations in communication behaviors and different phases of the software development cycle. the research also found that the temporal variations in communication behaviors between software phases were similar for the two projects. such findings are intended to strengthen the case for developing new temporal measures for analyzing groups and teams. (c) 2011 elsevier ltd. all rights reserved.
2012;thanks to extension of it in educational activities the difficulties based on time and space are disappearing and the management and the execution of these activities can be implemented more effectively and beneficially. even though there are significant developments about e-learning both in academic and professional platforms there are some main questions that must be considered like: how can e-learning and knowledge management be integrated? do these present e-learning systems fulfill the requirements of knowledge management? are provided facilities from these systems being utilized in knowledge management accurately? in this paper firstly e-learning and then knowledge and knowledge management concepts are considered with their major points. in the next section it is considered that how e-learning systems can be integrated with knowledge management under the subjects of knowledge management models system features and requirements of knowledge management.
2012;e-learning has made rapid strides in recent years. variety of tools supporting blended and online education systems paves the way for the development of e-learning. one of the main tools used in e-learning to support learning is undoubtedly asynchronous task-based online discussion groups or discussion board. existing e-learning platforms (open source or in the market) provide collaboration tools however they are not truly integrated with other modules causing serial problems for the group members. integration of discussion boards into the course content is of vital importance since they may directly affect learning. in this study we suggest a new easy-to-use-framework in which discussion boards are embedded in course content providing easy access to the students without distancing them from the learning material. the tutor can write feedback comments and rate on each learner's postings. moreover students can also grade his friends' postings which may enhance their motivation and may also increase the number of the postings. this framework enriches course content with the power of forum tools and makes learners in the discussion process active with the support of feedback and grade reward.
2012;this study is focused on improving and sustaining the analog experiment sets used in the laboratory applications of technical and vocational education (tve) particularly in electrical and electronics by computerizing them to extend their usage period. the study is mainly about the improvement of the v-lab and d-lab interfaces. as the distance education has been increasingly and widely adopted in the recent years it became apparent that some laboratory applications can also be adapted into the distance education via improvements including computerization internet connectivity and remote monitoring technologies. this article describes the technical capabilities of the improved analog experiment laboratory systems and discusses the limitations and potential further improvements. the present work will also be a good reference to vocational education. (c) 2010 wiley periodicals inc. comput appl eng educ 20: 364373 2012
2012;nowadays distance learning education has been started to become familiar in behalf of classical face to face education (f2f) model. web based learning is a major part of distance education systems. web based distance learning can be defined shortly as an education type which doesn't force students and educators being into the same mediums. this education model has a student-cantered structure. in this type of education students can learn given lectures without dependency of time and place. and also students can communicate with their educators via various technology platforms. this is a fact that there are many factors have been effecting achievement of students in web-based distance learning. the success of students can be increased while determining weighted achievement factors. this study aims for determining critical achievement factors in a case study of e-mba distance education program held sakarya university by using structural equation model.
2012;the research aims at investigating the saudi secondary school teachers' attitudes towards using interactive whiteboard in the classrooms. the research uses the quasi- experimental approach with one group (100) teachers and limited to the secondary school teachers that enrolled in the first semester of (2011/2012) academic year. the research uses interactive whiteboard attitude survey observation skill card for using interactive whiteboard in the classrooms and structured interviews with students. the results indicated that there were appositive attitude towards using interactive whiteboard. but a few number of teachers used effectively the interactive whiteboard effectively in the classrooms. these results indicated that the teachers need a professional development program for effective using of interactive whiteboard effectively to help them in improving their teaching skills and the students learning. more details of the results are discussed in the study.
2012;the purpose of this study is in the process of interpersonal communication in virtual environments is available from the trust problem is to develop a measurement tool. trust in the process of distance education today and has been a factor to be investigated. people who take distance education course they could may remain within the process communicate with different people and different problems in different ways. in this context this scale (veits) developed for the accurate detection of these problems and has been developed. it is also can be used for measuring how much the individuals can reflect their real personalities in the virtual environments.
2012;the purpose of this research is to detect the effect of web-based learning setting on psychomotor skill acquisition levels of students and their attitudes toward course. the research has been designed according to pretest-posttest control grouped experimental pattern. study group consists of 47 students. data have been gathered via course attitude scale and psychomotor skill rubric. web-based learning applied in the experimental group but in control group traditional methods were applied. as a result: with respect to total psychomotor skill scores web-based teaching does not contribute more than traditional teaching to psychomotor skill levels of students but develops the attitudes.
2012;e-learning has made rapid strides in recent years thanks to the advances in educational technology. many educational institutions have started e-learning. in e-learning there is a need for administration documentation delivery of the course content and tracking students' performances all of which are done by the help of a software called learning management system (lms). a robust lms is a requirement for achieving the goals of the institution providing e-learning. there are basically three kinds of ems: open source commercial and institution-based (self-developed). all of them have advantages and disadvantages. choosing the type of lms to be used by any institution depends on the decision makers of that institution. decision makers in kirikkale university chose to develop its own lms depending on the individual needs of its distance education center. in this study a new learning management system called kuzem lms created by the software development team of kirikkale university and used in the distance education center of the same university is aimed to be introduced. the features of the kuzem ems are given in detail and a comparison of it is made with the other lmss.
2012;this study aims to define the roles of cooperating teachers as mentors in the context of distance-learning teacher education. the participants included 358 cooperating teachers who mentored 4th-year student teachers in a distance english language teacher training program in turkey. to determine the roles that were perceived as mentoring roles by the cooperating teachers in the distance practicum an inventory of 10 primary mentoring functions was constructed. these functions included five primary mentoring roles: 'self-trainer' 'networker 'social supporter' 'academic supporter' and 'psychological supporter'. the results will contribute to an increased understanding of how cooperating teachers perceive their mentoring roles during distance practicums. (c) 2012 elsevier ltd. all rights reserved.
2012;this study deals with the design and development process of computerized adaptive testing module integrated into uzwebmat. uzwebmat is an expert system supported adaptive and intelligent individualized e-learning environment. it was devoted to teach probability subject. a question bank was created in the study in the first place. this question bank was administered to learners in the form of work sheets. these tests were analyzed according to item response theory. model-data adaptivity was tested at the end of the analyses. it was deduced that data can be adapted to 3pl. items non-compliant with 3pl were extracted from the question bank. at the end of these operations final question bank containing 752 questions in total was obtained. learners taught with uzwebmat took end-of-subject tests for permutation combination binomial expansion and probability containing 20 20 15 and 20 questions respectively. besides learners completing all subjects took end-of unit test containing 30 questions. items in these tests were dynamically selected from the question bank pursuant to adaptive assessment. while test was dynamically being formed the question providing the furthest information regarding current estimated ability level of examinee was determined and it was presented to next examinee. ability level of the examinee was re-estimated and updated according to the answer of each question. thanks to this module learners individually taught with uzwebmat are provided with adaptive assessment in accordance with their own qualifications and capacities. in contrast to classical tests individual assessment becomes a reality through adaptive assessment which provides the opportunity to know learners according to their ability levels. (c) 2012 elsevier ltd. all rights reserved.
2012;problem statement: cyberbullying is associated with significant psychological issues among young people such as depression emotional distress low self-esteem and poor academic achievement. it is also regarded as an increasingly emergent problem in educational settings putting learners' psychological health safety and well-being at risk. recent research has shown that a growing number of students are victims of cyberbullying and a wider realization and a thorough understanding of cyberbullying is needed. purpose of the study: this survey-based study set out to explore the relationship between personality traits and cyberbullying among university students receiving education through either face-to-face or distance education modes. methods: a sectional research design and correlation survey method was adopted throughout the study. as a causal and comparative study the dependent variable was set as cyberbullying (actively bullying others and/or being bullied) and the independent variable included five personality types. a path model was developed and tested in order to investigate the effects of learning modes and aforementioned personality types on two levels of cyberbullying. findings and results: the good fit indexes belonging to the model indicated acceptable conditions and capacity for explaining the relations among the variables. emotional instability was observed as the leading predictor of being cyberbullied with a medium effect size. on the other hand the weakest predictor of being bullied was found to be openness to experience with a minor level negative effect size. the developed model was observed to be valid for both face-to-face and distance education learning modes. in addition a positive and medium level relationship between bullying and being exposed to bullying was observed. ward's hierarchical cluster analysis conducted on the points obtained from the cyberbullying scale revealed that the majority of the group rarely bullies and is rarely exposed to cyberbullying. conclusions and recommendations: this study contributes to the extant literature on bullying in a few conceptual areas. for instance few research studies have examined the bullying issue in the tertiary context and through learning modes. the current investigation was limited by using a single data set to conduct all analyses. further research is recommended to involve various variables such as cross-cultural effects on cyberbullying.
2012;clin microbiol infect 2012 18: e308e313 abstract antimicrobial resistance is a serious threat and compromises the management of infectious disease. this has particular significance in relation to infections of the respiratory tract which are the lead cause of antibiotic prescribing. education is fundamental to the correct use of antibiotics. a novel open access curriculum has been developed in the context of a european union funded research project genomics to combat resistance against antibiotics in community-acquired lower respiratory tract infections in europe (grace http://www.grace-lrti.org). the curriculum was developed in modular format and populated with clinical and scientific topics relevant to community-acquired lower respiratory tract infections. this curriculum informed the content of a series of postgraduate courses and workshops and permitted the creation of an open access e-learning portal. a total of 153 presentations matching the topics within the curriculum together with slide material and handouts and 104 webcasts are available through the grace e-learning portal which is fully searchable using a mindmap to navigate the contents. metrics of access provided a means for assessing usage. the grace project has permitted the development of a unique on-line open access curriculum that comprehensively addresses the issues relevant to community-acquired lower respiratory tract infections and has provided a resource not only for personal learning but also to support independent teaching activities such as lectures workshops seminars and course work.
2012;the main purpose of this study is to design a courseware development model (cdm) and investigate its effects on pre-service teachers' academic achievements in the field of geography and attitudes toward computer-based education (atcbe). the cdm consisted of three components: content (c) learning theory namely meaningful learning (ml) and multimedia (m). the cdm is designed to show the synthesis of the c and m components under ml in this study an experimental design including pre-test and post-test groups is used to define the efficiency of the cdm. there are 31 pre-service teachers in the control group 28 pre-service teachers in the meaningful learning theory group-ml and 30 pre-service teachers in gtc group that uses geography teaching courseware-gtc based on the cdm. the results of the analysis indicate that the courseware is quite effective improving pre-service teachers' academic achievements as well as their atcbe scores. the results also suggest that the new model has an appropriate structure for courseware design. (c) 2012 elsevier ltd. all rights reserved.
2012;this paper is intended to reveal the results of a study in which the relationship between learners' perceptions of affective learning instructors' attractiveness and instructor evaluations in a videoconference based distance education course was investigated. an online survey instrument was used to collect quantitative data. a series of pearson product-moment correlation coefficient was computed to assess the relationships between these variables. the results have shown that there were positive correlations between task attractiveness social attractiveness affective learning and instructor evaluations in videoconference-based open and distance courses. overall almost all of these correlations were moderate level except the ones between the instructor evaluations and task attractiveness as well as the instructor evaluations and the social attractiveness. positive strong relationships were observed between these variables. increases in task and social attractiveness were correlated with increase in the instructor evaluations.
2012;this study aims to reveal second life (sl) residents' profiles first hand experiences opinions about sl and its potential as an educational environment. the members of 14 turkish island in sl answered a questionnaire including likert-type open ended and multiple-choice items and participated in interview sessions. researchers collected 118 questionnaires and interviewed with 10 users. the results showed a general picture about the turkish sl user profile. they agree on sl potential about providing better communication with people. also they keep their sl character in line with the one they have in real life while changing their physical appearances. many active sl users in this study do not have an apparent thought about the applicability of sl in education and most of them are not willing to participate in its educational applications in sl. this study concludes by offering suggestions to practitioners about how to use sl in e-learning.
2012;the research aims to determine the effectiveness of using blended learning approach in developing student teachers teaching skills and defining teaching skills that confront students of teachers college at king saud university need it. the research uses the quasi- experimental approach with four experimental groups (mathematics (21) - science (15) - computer (20) - quran (15)). the research is limited to the students of practical course in the second term of (2010/2011) academic year. additionally it investigates teaching skills that are not excelled by student teachers. the research uses observation skill card for teaching skills with pre-post applied while preparing and implementing a suggested proposal for developing skills of teaching implementation of student teachers results of statistical treatment indicated that there were significant differences between means of pre-post treatment in experimental groups in favor of post treatment. as students thought these results indicated that blended learning helped them to improve their teaching skills. more details of the results are discussed in the study.
2012;this study aims to investigate viewpoints of students in recreation and sport management department on distance education and the effects of sex having computers and internet access at home family's monthly income district of the family and students' level of class on these viewpoints. survey method was used to carry out the study. the sample of the study consisted of the students who attend recreation and sports management departments of physical education and sports high school in sakarya university. in order to gather information a questionnaire was developed by the researcher and it was applied to 292 students. several statistical techniques such as frequency percentage t-test and anova were used to analyze the data. the result of the study showed that the variables like sex having a computer and an internet access at home monthly income of the families of students the place where students' families live and class levels of the students have an influence on their opinions.
2012;determination of students' attitudes towards online cooperative learning is an important issue which has not been studied adequately. in the literature there are few scales to measure the attitude towards online cooperative learning for which validity and reliability have been proven. the main purpose of this study is to develop an attitude scale in order to specify students' attitudes towards online cooperative learning. the sample group is composed of 599 students for the first application and 242 students for the second. in order to detect the validity of the scale exploratory and confirmatory factor analyses item factor total correlations corrected correlations and item discriminations were conducted. in order to assess the reliability of the scale the level of internal consistency and the stability levels were calculated. oclas is a five-point likert-type scale and includes 17 items that can be gathered under 2 factors. the analyses provided evidence that the online cooperative learning attitude scale (oclas) is a valid and reliable scale that can be used in order to determine students' attitudes towards cooperative learning in online environments. (c) 2012 elsevier ltd. all rights reserved.
2013;this study was designed to test the validity and reliability of the web-based learning environment instrument (weblei). developed by chang and fisher (2003) the weblei is a four-factor scale that measures the access interaction response and results. the multidimensional construct assesses student perceptions of four core aspects of the web-based learning environment. the psychometric properties of the turkish form of the weblei were examined using a sample of 772 post-secondary students from turkey. a series of cfa were performed to test four models to compare differing conceptualizations of the underlying structure of the weblei to examine whether the weblei comprises four sub-constructs proposed by chang and fisher (2003). results indicated that the psychometric properties of correlated four-factor model were a satisfactory fit data. present findings evidence that the weblei is valid and reliable measure of turkish students' perceived web-based learning environments traits.
2013;it is essential to predict distance education students' year-end academic performance early during the course of the semester and to take precautions using such prediction-based information. this will in particular help enhance their academic performance and therefore improve the overall educational quality. the present study was on the development of a mathematical model intended to predict distance education students' year-end academic performance using the first eight-week data on the learning management system. first two fuzzy models were constructed namely the classical fuzzy model and the expert fuzzy model the latter being based on expert opinion. afterwards a gene-fuzzy model was developed optimizing membership functions through genetic algorithm. the data on distance education were collected through moodle an open source learning management system. the data were on a total of 218 students who enrolled in basic computer sciences in 2012. the input data consisted of the following variables: when a student logged on to the system for the last time after the content of a lesson was uploaded how often he/she logged on to the system how long he/she stayed online in the last login what score he/she got in the quiz taken in week 4 and what score he/she got in the midterm exam taken in week 8. a comparison was made among the predictions of the three models concerning the students' year-end academic performance.
2013;education plays an essential role in an individual life. it is through this process that a person initially formulates his thoughts with the help and guidance of the instructors within the boundaries of school. parallel to this it is also by means of education that an individual discovers his strengths and is able to apply them to his practical life. in this regard it is important to utilise all aspects of the learning process including online procedures of teaching and learning that are so important in today world. it would be great to consider one of the initial moves of today world such as gearing up towards online procedures of teaching and learning. the facet of online teaching techniques is currently perceived by most individuals as an initial step towards transformation. redefining techniques in the teaching system would deliver a set of skills knowledge and practicality to students some of whom are prospective teachers who are behind the walls of their classrooms. these new techniques could also expose them to a dimension of thought which is very pertinent to their daily activities and interests. online social networking is so important for individuals today. understanding the contributions of online teaching for students would be a huge leap towards achieving diverse learning with minimum supervision. this literature review references many studies that found that the importance of students interaction in online learning is essential both for educators and students. students in online learning conditions performed modestly better than those receiving face-to-face instruction.
2013;purpose - the purpose of this paper is to evaluate a distance education program in the field of digitization which was carried out in turkey in 2011. in total 805 people comprising librarians archivists and museum specialists applied for three certification programs. the paper evaluates the distance education in terms of content and organization on the basis of participants' opinions and determines how and to what extent the education has changed the awareness of participants on digitization and digital content management and their level of theoretical and practical knowledge. design/methodology/approach - the research questions of the study are: what are the qualities of the participants on digitization and digital content management? in other words what is the level of education background of the participants and what level of education do they need? what are the qualifications (in terms of content presentation of the content and general organization) of the distance education program? to what extent has the distance education contributed to the enhancement of participants' level of awareness on digitization and digital content management and to the improvement of theoretical and practical knowledge? findings - in the research the literature on the issue has been reviewed and then a theoretical model has been developed. the research findings have been presented within the framework of the theoretical model. according to the research findings the participants have poor educational background and most of the participants had attended such an education program for the first time. originality/value - the participants were satisfied with the program in terms of content and organization. the program has improved their level of theoretical and practical knowledge and awareness on digitization.
2013;this paper presents a meta-cognitive tool (mct) development for history teaching. it was developed to support teaching history of civilization courses at the engineering faculty. it covers hierarchically arranged concept maps which are presented dynamically by using extensible markup language (xml) files. mcts are integrated in e-learning portals to support self-learning. mcts were investigated in terms of the human computer interaction (hci) discipline to evaluate their usability in online courses. for this purpose relationships between learners' cognitive abilities individual differences and usability of e-learning portal were considered in order to create a model between individual differences and software usability. the usability of mct was evaluated by 116 (70 male 46 female) subjects who were registered for the hum1005 history of civilization i a general elective course at the faculty of engineering. they completed four different surveys: an iq survey a personality survey a motivation survey and a software usability measurement inventory (sumi). this research compares intelligence personal factors and motivation factors with the personal software usability results in order to determine the correlations and associations between the usability of the software and learners' individual differences. in the study results show that the usability of any education tool has effect on achievement of the learner. noteworthy a correlation was found between grade point average (gpa) and usability scores.
2013;this paper describes how interactive videoconference can benefit the electrocardiography (ecg) skills of undergraduate nursing students. we have implemented a learning system that interactively transfers the visual and practical aspects of ecg from a nursing skills lab into a classroom where the theoretical part of the course is taught. the students and the instructor in the classroom observe the activities in the skill lab in real time while communicating with the nurse in the lab via audio and video links. an experiment was performed with the participation of 13 male and 57 female (total 70) second year nursing students-36 of who were assigned to videoconference group (experimental group-vcg) and the other 34 were assigned to traditional classroom groups (control group-tcg). in the experiment ecg knowledge levels of participants were measured by repeated tests (pretest posttest i and posttest ii) and data were analyzed with repeated measures of variances and covariance the results demonstrating that videoconferencing contributed significantly to the improvement of ecg skills of the participants. in addition a questionnaire was given to students along with posttest ii and the result of which indicated overwhelming satisfaction with videoconference based lecture.
2013;aims: a basic knowledge and understanding of first aid can be invaluable for both teachers and students to be able to provide emergency care in the event of an accident possibly saving lives and minimizing injury in school settings. the purpose of this research was to perform a comparison of online and face-to-face delivery modes for an introductory first aid course to determine if there existed a difference in student teachers' success depending on the delivery modes. methods: the research compares participants' achievements in a first aid class taught by the same instructor using either face-to-face or online delivery modes. in total five sections of the course were assigned to either a face-to face or an online treatment condition. results: the results of a paired samples t-test indicated that student teachers both in experiment and control groups performed adequately to attain the course goals (p < .05). the difference between the mean scores of all groups in pre- and post-tests verified the achievement of the participant learners. the results of a further independent t-test on groups' performances on the post application of the achievement test showed a significant variance in favour of participants who received online teaching (p < .05). conclusion: the findings of the study suggest that while both online and face-to-face mode can be effective in achieving learning goals of first aid content online learning was found to be more effective in comparison to traditional classroom instruction.
2013;background: although advances in distance learning have shown signs of a reconfiguration of the teacher's role in online environments a large number of online teaching practices still do not show many signs of this shift. given the need for a change in pedagogies investigating how exemplary teachers transfer their thinking pedagogical knowledge and beliefs to successful online teaching is critical to understanding new online learning and teaching practices. the research on online teacher roles and practices however has been limited in terms of bringing teachers' voices into the research process and empowering them as autonomous professionals who constantly engage in a dialogue about solving complex problems and making decisions about online teaching. purpose and research questions: the purpose of this research was to look at exemplary online teachers' transition to online teaching with a focus on their successful practices. the research investigated two central questions: (1) what are the successful practices that exemplary online teachers employ in their online teaching? (2) how do exemplary online teachers make a transition to online teaching in such a way that they create successful practices? research design: the study followed a qualitative multiple-case study approach examining six different cases of exemplary online teachers and their teaching contexts within a large research university in the midwestern united states. using multiple cases allowed for comparison of similar and contrasting online teaching situations and conditions within the university's different colleges. participants data collection and analysis: the data sources of the study consisted of (1) semistructured interviews conducted with six online program coordinators to collect contextual information and gather nominations for successful online teachers in each college and (2) ethnographic interviews conducted with 6 online teachers nominated as exemplary to gather teacher-expressed needs knowledge and successful practices. within-and cross-case analyses were conducted to generate codes and identify the similarities and differences across the cases as well as common themes. conclusions/recommendations: the findings of this study indicated that when teachers described their successful practices they often linked them to their changing roles and new representation of their selves within an online environment. their portrayal of the teacher self both built on a plethora of previous experiences and reformed with the affordances and limitations of the online environment went through a process whereby teachers were constantly challenged to make themselves heard known and felt by their students. this study showed that it was critical to listen to teachers' voices and give them a participatory role in the creation and use of their knowledge and experience in order to form their online teacher personas. as a result programs that prepare faculty to teach online may need to encourage teachers to reflect on their past experiences assumptions and beliefs toward learning and teaching and transform their perspectives by engaging in pedagogical inquiry and problem solving.
2013;problem statement: teaching a language with the help of comput ers and the internet has attracted the attention of many practitioners and researchers in the last 20 years so the number of studies that investigate whether computers and the internet promote language learning continues to increase. these studies have focused on exploring the beliefs and attitudes of learners and teachers towards computers and the internet or on inquiring whether computers and the internet increase the achievement levels of learners or enhance students' awareness of other cultures. despite the widespread use of computers and the internet in educational settings a small number of research studies have investigated the role of computer-assisted language learning (call) in promoting learner autonomy. this study will contribute to the literature on the ways that call environments foster learner autonomy. purpose: the aim of this study is to utilize language learning environments equipped with technology to develop learner autonomy. there are four behavioural indicators of autonomy: using language learning strategies a high motivation level to learn the english language taking responsibility for one's own learning and continued english language study outside the classroom. method: forty-eight intermediate-level students at a private university in ankara turkey participated in this study. the students were divided into two groups: the strategy training group (stg) and the non-strategy training group (nstg). the students in the stg received a five-week language learning strategy training through call while the participants in the nstg followed the university's regular curriculum. data were collected by means of questionnaires semi-structured face-to-face interviews classroom observations e-learning diaries and the five-week language learning strategy training through call. findings and results: the results of the study indicate that the students in the stg displayed improvement in their usage of language learning strategies had higher motivation were more willing to take responsibility for their own learning and were engaged in extra-curricular study by means of call compared to the students in the nstg. conclusions and recommendations: becoming autonomous learners necessitates readiness on the part of the students. therefore it is important for instructors to know whether their students are ready to develop autonomy. autonomous learning differs from conventional foreign language education in the sense that the primary focus of autonomous learning is on the learners' individual awareness of the learning process. therefore it would be beneficial for curriculum units in language teaching institutions to revise course objectives and to design classroom activities that promote learner autonomy.
2013;this study introduces a story-based e-learning oriented course tool that was designed and developed for using within computer programming courses. with this tool students can easily adapt themselves to the subjects in the context of computer programming principles thanks to the story-based interactive processes. by using visually improved elements it is aimed to ensure a step-by-step learning - teaching session which allows students to organize a typical learning process on their own. as a result of using this approach and the story-based environment it can be very easy fast and entertaining for students to learn fundamentals of the computer programming approach and its related sub-subjects. furthermore complex technical and abstract concepts of a typical computer programming course can also be taught easily without needing for any extra material to improve course conditions.
2013;in this study it is mainly focused on investigating the effect of question-embedded online interactive video environment on student achievement. a quasi-experimental design was development to compare the effectiveness of a question-embedded interactive video environment (qve) and an interactive video environment without the question component (ive). the data were collected from 318 teacher education students enrolled in an introduction level computer literacy course. two different course materials were designed developed and implemented to teach the same content and the same data collections instruments were used to assess student achievement. a computer knowledge evaluation form was utilized at the beginning and at the end of the study to examine about the students' computer literacy and knowledge. a quantitative design method was used to inquire the effect of question-embedded online video-based environment tool on student achievement. two quizzes and two surveys were performed. the research results show that the question-embedded video-based environment tool promote the student learning improve the amount of interaction of the student as well as time spent with the learning materials. simply incorporating interactive video into e-learning environment may not always result with improving learning. however qve tool may lead to better learning outcomes and higher learner achievement.
2013;the purpose of this study is to design an adaptive and intelligent individualized e-learning environment based on learning style and expert system named uzwebmat and to evaluate its effects on students' learning of the unit of probability. in the study initially learning objects were prepared in three different ways in relation to visual-auditory-kinesthetic (vak) learning style for each subject of the probability unit. these were appropriate for secondary school mathematics curricula. then they were transferred into the digital environment. each student may follow a different course and the solution supports s/he will get may also differ highlighting the individual learning. the sample of the study consists of 81 10th grade students from two high schools in trabzon turkey. qualitative and quantitative data were collected from students to answer research questions. quantitative data were given as frequency distribution and percentages. qualitative data were analyzed using qualitative data analysis methods. results of the study indicated that opinions regarding uzwebmat are rather positive. aiming at individual learning uzwebmat provides the most appropriate environment for students. in addition uzwebmat can be used as well to reinforce traditional classroom education. (c) 2012 elsevier ltd. all rights reserved.
2013;at the nexus of education and technology blended learning is growing rapidly. integrating face-to-face and online learning blending can enhance learning and optimize seat time. this paper describes the use of the blended e-learning model in a course data structures and algorithms given at the afyon kocatepe university turkey. this model is realized as a combination of a face-to-face environment and online learning using the university's learning management system (lms) named @ku-uzem. the lms consists of many applications in accordance with scorm standards such as student records user roles courses exams security applications student affairs counseling services internal communication director processes and evaluation. it provides whole software infrastructure by a virtual academic institution and is currently used in afyon kocatepe university. this paper describes both the technology for course design and programme redesign adopted a blended learning approach with both face-to-face and online learning aimed at enhancing the students' control over their own learning. according to the obtained results with the performed experimental evaluation the realized blended learning model provided more effective and efficient educational experience rather than traditional face-to-face learning. a survey conducted at the end of the course also showed that students were satisfied with the pedagogical approach and their academic achievements were also better than expected. particularly important is that the dropout rate was greatly diminished which could be related to students' satisfaction with the support they received from the teacher and the system. (c) 2010 wiley periodicals inc. comput appl eng educ 21: 328-342 2013 view this article online at wileyonlinelibrary. com/journal/cae doi 10.1002/cae.20476
2013;in this study an innovative adaptive and intelligent web based e-learning system uzwebmat (turkish abbreviation of adaptive and intelligent web based mathematics teaching-learning system) was designed developed and implemented. this e-learning system was intended for learning and teaching secondary school level permutation-combination-binomial expansion and probability subjects. content which was prepared according to turkish curriculum for secondary school mathematics course was transformed into learning objects in three different ways in accordance with vak (visual-auditory-kinesthetic) learning styles. primary/secondary/tertiary learning styles of learners registering the system are determined and each learner receives the content appropriate for his/her dominant learning style. also they can be directed to contents of other styles according to their performances thanks to an expert system. learning objects constituting the content were prepared according to constructivist approach. an active role for the learner was the purpose. tips and intelligent solution supports within the learning objects were presented with expert system support to the learners. with this structure uzwebmat bears the characteristics of intelligent tutoring system as well as an adaptive e-learning environment. all the movements of learners studying with uzwebmat are recorded and the necessary information is reported to both learners and teachers in a visualized way. crown copyright (c) 2012 published by elsevier ltd. all rights reserved.
